LSOA11 Code,Public transport accessibility metric
E01001101,1
E01001102,0
E01001103,2
E01001104,1
E01001105,1
E01001106,1
E01001107,2
E01001108,2
E01001109,0
E01001110,0
E01001111,0
E01001112,0
E01001113,0
E01001114,0
E01001115,0
E01001116,0
E01001117,0
E01001118,0
E01001119,1
E01001120,1
E01001121,3
E01001122,1
E01001123,2
E01001124,4
E01001125,0
E01001126,1
E01001127,2
E01001128,3
E01001129,1
E01001130,4
E01001131,4
E01001132,3
E01001133,1
E01001134,1
E01001135,1
E01001136,0
E01001137,1
E01001138,1
E01001139,0
E01001140,0
E01001141,1
E01001142,0
E01001143,0
E01001144,0
E01001145,0
E01001146,1
E01001147,0
E01001148,0
E01001149,0
E01001150,0
E01001151,0
E01001152,0
E01001153,1
E01001154,0
E01001155,0
E01001156,0
E01001157,2
E01001158,0
E01001159,1
E01001160,1
E01001161,0
E01001162,1
E01001163,1
E01001164,1
E01001165,0
E01001166,0
E01001167,1
E01001168,1
E01001169,0
E01001170,0
E01001171,0
E01001172,0
E01001173,0
E01001174,1
E01001175,0
E01001176,0
E01001177,0
E01001178,0
E01001179,0
E01001180,0
E01001181,0
E01001182,0
E01001183,0
E01001184,1
E01001185,0
E01001186,0
E01001187,0
E01001188,0
E01001189,0
E01001190,0
E01001191,0
E01001192,0
E01001193,0
E01001194,0
E01001195,0
E01001196,1
E01001197,0
E01001198,1
E01001199,0
E01001200,0
E01001201,0
E01001202,0
E01001203,0
E01001204,1
E01001205,0
E01001206,1
E01001207,0
E01001208,0
E01001209,0
E01001210,0
E01001211,0
E01001212,0
E01001213,0
E01001214,1
E01001215,0
E01001216,0
E01001217,1
E01001218,2
E01001219,1
E01001220,1
E01001221,0
E01001222,0
E01001223,2
E01001224,1
E01001225,0
E01001226,0
E01001227,1
E01001228,0
E01001229,1
E01001230,1
E01001231,1
E01001232,1
E01001233,0
E01001234,1
E01001235,1
E01001236,2
E01001237,2
E01001238,1
E01001239,1
E01001240,0
E01001241,0
E01001242,0
E01001243,0
E01001244,0
E01001245,0
E01001246,0
E01001247,1
E01001248,0
E01001249,0
E01001250,0
E01001251,0
E01001252,0
E01001253,0
E01001254,0
E01001255,0
E01001257,1
E01001258,1
E01001259,0
E01001260,0
E01001261,0
E01001262,1
E01001263,2
E01001264,1
E01001265,3
E01001266,0
E01001267,1
E01001268,0
E01001269,0
E01001270,4
E01001271,0
E01001272,1
E01001273,0
E01001274,0
E01001275,1
E01001276,4
E01001277,4
E01001278,2
E01001279,3
E01001280,2
E01001281,0
E01001282,0
E01001283,0
E01001284,0
E01001285,0
E01001286,0
E01001287,0
E01001288,0
E01001289,0
E01001290,0
E01001291,2
E01001292,1
E01001293,1
E01001294,1
E01001295,1
E01001296,1
E01001297,1
E01001298,1
E01001299,0
E01001300,0
E01001301,0
E01001302,0
E01001303,0
E01001304,1
E01001305,0
E01001306,0
E01001307,1
E01001308,2
E01001309,2
E01001310,1
E01001311,3
E01001312,0
E01001313,3
E01001314,3
E01001315,1
E01001316,0
E01001317,0
E01001318,0
E01001319,0
E01001320,4
E01001321,3
E01001322,1
E01001323,0
E01001324,2
E01001325,1
E01001326,2
E01001327,0
E01001328,0
E01001329,1
E01001330,0
E01001331,0
E01001332,2
E01001333,0
E01001334,1
E01001335,1
E01001336,1
E01001337,2
E01001338,0
E01001339,2
E01001340,3
E01001341,2
E01001342,3
E01001343,4
E01001344,2
E01001345,2
E01001346,0
E01001347,4
E01001348,1
E01001349,1
E01001350,0
E01001351,0
E01001352,0
E01001353,0
E01001354,0
E01001355,0
E01001356,0
E01001357,0
E01001358,0
E01001359,0
E01001360,0
E01001361,0
E01001362,0
E01001363,1
E01001364,0
E01001365,0
E01001366,2
E01001367,0
E01001368,0
E01001369,0
E01001370,0
E01001371,0
E01001372,0
E01001373,0
E01001374,0
E01001375,0
E01001376,0
E01001377,0
E01001379,0
E01001380,1
E01001381,0
